,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,saldanha,7,ZA,1594001160,87,-33.01,17.94,50.0,2.24
74,kruisfontein,89,ZA,1594001160,91,-34.0,24.73,51.04,5.57
75,afyonkarahisar,7,TR,1594001160,68,38.75,30.67,66.34,3.49
76,sorong,0,ID,1594001160,70,-0.88,131.25,84.15,7.52
77,hargeysa,100,SO,1594001160,68,9.56,44.06,68.52,32.64
78,beringovskiy,47,RU,1594001160,83,63.05,179.32,47.5,13.94
79,dholka,90,IN,1594001160,94,22.72,72.47,78.8,4.7
80,comodoro rivadavia,21,BR,1594001160,58,-13.66,-59.79,71.91,4.12
81,abakaliki,94,NG,1594001160,96,6.32,8.12,72.91,4.45
82,cardenas,40,CU,1594001161,78,23.04,-81.2,78.8,5.82
83,okakarara,0,NA,1594001161,63,-20.58,17.43,41.11,3.6
84,bredasdorp,97,ZA,1594001161,93,-34.53,20.04,48.2,2.24
85,avera,40,US,1594001161,94,33.19,-82.53,82.4,4.7
86,ostashkov,14,RU,1594001161,95,57.15,33.11,59.99,8.55
87,orocue,58,CO,1594001161,91,4.79,-71.34,74.91,6.89
88,moree,0,AU,1594001161,54,-29.47,149.85,55.4,5.82
89,ribeira brava,75,ES,1594001161,87,42.75,-8.44,64.99,8.05
90,sur,95,OM,1594001162,59,22.57,59.53,89.76,7.07
91,katangli,100,RU,1594001162,92,51.71,143.23,49.98,8.19
92,norman wells,1,US,1594001002,62,35.22,-97.44,84.2,6.93
93,ambilobe,51,MG,1594001162,82,-13.2,49.05,68.11,1.9
94,faanui,89,PF,1594001162,77,-16.48,-151.75,78.49,13.56
95,barrow,1,US,1594001162,75,71.29,-156.79,42.8,14.99
96,yuanping,0,CN,1594001162,38,38.72,112.76,82.67,0.72
97,arlit,0,NE,1594001163,13,18.74,7.39,84.78,2.68
98,vitim,93,RU,1594001163,35,59.45,112.56,72.19,1.16
99,dikson,98,RU,1594001163,65,73.51,80.55,49.12,15.88
100,grindavik,0,IS,1594001164,76,63.84,-22.43,50.0,13.87
101,svetlyy,90,RU,1594001164,87,54.67,20.13,60.8,6.71
102,dzhebariki-khaya,48,RU,1594001164,51,62.22,135.8,66.61,4.12
103,skibbereen,40,IE,1594001164,81,51.55,-9.27,51.8,12.75
104,joshimath,4,IN,1594001164,41,30.57,79.57,70.61,1.23
105,katsuura,75,JP,1594001165,94,35.13,140.3,77.0,10.29
106,nemesvamos,0,HU,1594001165,88,47.06,17.87,64.4,3.58
107,salalah,40,OM,1594001165,88,17.02,54.09,80.6,6.93
108,tuatapere,100,NZ,1594001165,93,-46.13,167.68,48.34,5.46
109,emerald,98,AU,1594001165,45,-23.53,148.17,62.6,12.75
110,anloga,20,GH,1594001165,88,5.79,0.9,77.0,6.93
111,hithadhoo,100,MV,1594001165,75,-0.6,73.08,83.82,12.35
112,ponta do sol,100,PT,1594001166,100,38.73,-28.27,64.15,7.14
113,mokhsogollokh,84,RU,1594001166,45,61.47,128.92,66.6,2.77
114,fairbanks,1,US,1594000991,33,64.84,-147.72,75.2,6.93
115,luebo,77,CD,1594001166,44,-5.35,21.42,66.65,2.21
116,sola,99,VU,1594001166,82,-13.88,167.55,80.38,22.93
117,tunceli,0,TR,1594001166,48,39.11,39.55,64.4,6.93
118,zaysan,100,KZ,1594000866,38,47.47,84.87,72.48,3.89
119,tasiilaq,8,GL,1594001166,80,65.61,-37.64,39.2,23.04
120,boksitogorsk,79,RU,1594001166,90,59.47,33.85,61.72,10.36
121,mount gambier,53,GB,1594001167,91,53.66,-1.85,52.0,5.99
122,smithers,75,CA,1594001167,59,54.78,-127.17,62.6,2.24
123,sabang,100,ID,1594001167,72,5.89,95.32,84.04,6.17
124,bengkulu,12,ID,1594001167,65,-3.8,102.27,83.41,4.65
125,yeppoon,42,AU,1594001167,32,-23.13,150.73,68.0,9.17
126,merauke,98,ID,1594001167,76,-8.47,140.33,79.54,12.44
127,luderitz,0,NA,1594001167,19,-26.65,15.16,68.0,2.24
128,paraiso,90,CR,1594001167,100,9.84,-83.87,69.8,3.36
129,isangel,90,VU,1594001167,78,-19.55,169.27,77.0,4.7
130,coquimbo,11,CL,1594001119,87,-29.95,-71.34,51.8,2.24
131,kamenka,33,RU,1594001168,56,51.32,42.77,66.88,1.59
132,bluff,100,NZ,1594001168,92,-46.6,168.33,49.14,18.54
133,bakchar,100,RU,1594001168,95,57.02,82.07,62.47,4.65
134,point fortin,20,ZA,1594001168,87,-29.86,31.04,59.0,3.36
135,zaranj,0,AF,1594001168,20,30.97,61.88,79.59,20.56
136,nanortalik,99,GL,1594001168,87,60.14,-45.24,39.88,8.63
137,sitka,90,US,1594001072,76,57.05,-135.33,57.2,3.36
138,college,75,US,1594001168,36,64.86,-147.8,75.2,10.29
139,namatanai,5,PG,1594001169,66,-3.67,152.43,84.47,4.54
140,geraldton,62,AU,1594001169,49,-28.77,114.6,68.0,11.41
141,ust-maya,96,RU,1594001169,83,60.42,134.53,62.22,2.98
142,taoudenni,0,ML,1594001169,12,22.68,-3.98,90.09,5.12
143,tevriz,100,RU,1594001169,75,57.51,72.4,63.82,1.61
144,asau,0,RO,1594001169,92,46.43,26.4,61.0,3.36
145,lavrentiya,100,RU,1594001169,91,65.58,-171.0,48.22,3.67
146,bang saphan,100,CM,1594001169,86,9.87,13.98,75.79,5.55
147,tarbagatay,53,RU,1594001169,33,51.48,107.36,71.6,13.42
148,barra da estiva,0,BR,1594001170,59,-11.09,-43.14,74.98,12.17
149,malindi,11,KE,1594000898,74,-3.22,40.12,76.73,19.26
150,dingle,22,PH,1594001170,70,11.0,122.67,86.14,7.58
151,puerto ayora,0,ES,1594001170,73,36.59,-6.23,77.0,4.7
152,aklavik,75,CA,1594001170,81,68.22,-135.01,42.8,12.75
153,pierre,1,US,1594000935,50,44.37,-100.35,78.01,17.22
154,ondangwa,0,NA,1594001170,37,-17.92,15.95,53.6,3.36
155,innisfail,50,AU,1594001170,66,-17.53,146.03,69.8,11.68
156,cenei,0,RO,1594001171,100,45.72,20.9,62.6,5.82
157,vanimo,100,PG,1594001171,63,-2.67,141.3,85.15,5.88
158,uusikaupunki,75,FI,1594001171,72,60.8,21.41,59.0,14.99
159,atuona,23,PF,1594001171,75,-9.8,-139.03,79.5,21.03
160,askiz,100,RU,1594001171,87,53.13,90.53,63.86,7.4
161,lorengau,32,PG,1594001171,72,-2.02,147.27,84.88,11.63
162,homer,90,US,1594001089,63,59.64,-151.55,64.4,11.41
163,saint-philippe,89,RE,1594001171,72,-21.36,55.77,68.0,6.93
164,iqaluit,75,CA,1594001171,81,63.75,-68.51,51.8,12.75
165,kutum,89,SD,1594001171,58,14.2,24.67,75.67,19.15
166,sakakah,0,SA,1594001172,30,29.97,40.21,82.4,12.75
167,macusani,0,PE,1594001172,84,-14.08,-70.43,34.12,2.8
168,komsomolskiy,86,UZ,1594001172,20,40.43,71.72,77.0,9.17
169,tequila,67,MX,1594001172,88,20.88,-103.83,73.0,5.99
170,clyde river,0,US,1594001172,63,41.3,-82.98,79.0,1.99
171,vila do maio,3,PT,1594001153,82,42.03,-8.16,68.0,4.7
172,bambanglipuro,4,ID,1594000960,70,-7.95,110.28,82.36,12.06
173,hobyo,49,SO,1594001172,73,5.35,48.53,78.58,17.76
174,souillac,75,MU,1594001173,94,-20.52,57.52,71.6,9.17
175,carnarvon,90,AU,1594001173,100,-24.87,113.63,66.2,10.29
176,georgetown,20,MY,1594000890,88,5.41,100.34,82.4,4.7
177,cidreira,100,BR,1594001173,87,-30.18,-50.21,58.57,10.83
178,boa vista,100,CM,1594001173,89,4.43,8.97,74.59,1.16
179,jalalabad,1,AF,1594001173,51,34.43,70.45,80.6,6.93
180,manokwari,26,ID,1594001076,62,-0.87,134.08,84.54,4.18
181,steamboat springs,90,CA,1594001173,67,58.68,-123.72,60.8,9.17
182,luwuk,100,ID,1594001174,76,-0.95,122.79,81.34,5.86
183,dicabisagan,100,PH,1594001174,64,17.08,122.42,88.2,10.18
184,palasa,100,IN,1594001174,76,18.77,84.42,83.44,4.54
185,larap,6,PH,1594001174,62,14.3,122.65,88.48,3.11
186,liverpool,69,GB,1594001052,76,53.41,-2.98,55.4,26.4
187,srednekolymsk,85,RU,1594001174,60,67.45,153.68,61.0,9.78
188,carballo,90,ES,1594001174,82,43.21,-8.69,64.4,9.17
189,egvekinot,93,RU,1594001174,94,66.32,-179.17,43.59,7.87
190,olovyannaya,0,RU,1594001174,37,50.95,115.57,68.61,12.71
191,pisco,75,PE,1594001174,87,-13.7,-76.22,60.8,4.7
192,mareeba,10,AU,1594001174,50,-17.0,145.43,75.2,12.75
193,svetlogorsk,0,BY,1594001175,92,52.63,29.73,61.09,4.7
194,torbay,90,CA,1594001175,100,47.67,-52.73,48.99,6.93
195,oktyabrskoye,0,RU,1594001175,87,43.06,44.74,60.8,6.71
196,cabo san lucas,75,BR,1594001175,83,-8.28,-35.03,78.8,11.41
197,vikindu,20,TZ,1594001175,94,-7.01,39.3,68.0,3.36
198,san jose,100,ML,1594001175,62,13.3,-4.9,83.34,3.89
199,lakes entrance,75,US,1594001175,60,61.61,-149.31,69.8,11.41
200,morristown,1,US,1594001175,88,36.21,-83.29,77.0,4.56
201,zeya,0,RU,1594001175,33,53.75,127.27,74.66,6.44
202,saint-pierre,71,RE,1594001175,72,-21.34,55.48,64.4,6.93
203,upernavik,97,GL,1594001175,80,72.79,-56.15,42.13,9.44
204,sao joao da barra,100,IN,1594001176,87,20.51,76.21,74.88,11.43
205,provideniya,90,RU,1594001176,81,64.38,-173.3,50.0,15.66
206,touros,75,BR,1594001176,100,-5.2,-35.46,73.4,5.82
207,isabela,40,PH,1594001176,74,6.71,121.97,84.2,3.36
208,paita,96,PE,1594001176,82,-5.09,-81.11,64.8,13.56
209,lata,0,PT,1594001176,92,40.16,-8.33,68.0,1.14
210,bose,4,IT,1594001176,86,45.46,8.01,71.01,4.25
211,sajanan,40,TN,1594001176,78,37.06,9.24,71.6,9.17
212,vizinga,60,RU,1594001177,78,61.07,50.1,65.55,3.06
213,mogok,100,MM,1594001177,100,22.92,96.5,67.05,2.42
214,koumac,98,NC,1594001177,59,-20.57,164.28,73.29,12.03
215,thinadhoo,100,MV,1594001177,66,0.53,72.93,84.27,3.4
216,changde,100,CN,1594001177,95,29.05,111.68,76.78,2.89
217,zhuravka,0,UA,1594001177,93,50.48,32.59,63.12,5.59
218,iwanai,0,JP,1594001177,55,42.97,140.51,77.65,3.94
219,amparafaravola,83,MG,1594001178,94,-17.58,48.22,55.45,4.76
220,nayagarh,100,IN,1594001179,81,20.13,85.1,81.19,4.25
221,jawhar,100,SO,1594001043,80,2.78,45.5,76.3,16.8
222,jieshi,97,CN,1594001179,76,22.81,115.83,85.69,13.56
223,lagoa,100,PT,1594001179,94,39.05,-27.98,67.53,8.37
224,tomatlan,100,MX,1594001179,87,19.93,-105.25,78.57,1.12
225,coihaique,75,CL,1594001179,92,-45.58,-72.07,30.2,0.98
226,pochutla,100,MX,1594001179,85,15.74,-96.47,80.01,0.72
227,northam,0,GB,1594001179,85,51.03,-4.22,57.0,11.01
228,jalu,0,LY,1594001179,82,29.03,21.55,70.74,11.27
229,rundu,0,NA,1594001066,43,-17.93,19.77,51.8,3.36
230,sergeyevka,72,KZ,1594001180,76,53.88,67.42,65.95,3.91
231,shimoda,75,JP,1594001180,100,34.67,138.95,77.0,16.11
232,vostok,74,RU,1594001180,61,46.49,135.88,73.56,4.41
233,hovd,45,MN,1594001180,40,48.01,91.64,66.06,2.82
234,haines junction,90,US,1594001180,59,59.23,-135.44,64.4,8.05
235,westport,1,US,1594001180,88,41.14,-73.36,78.01,4.7
236,cayenne,90,GF,1594000925,100,4.93,-52.33,77.0,8.01
237,yarim,100,YE,1594001180,78,14.3,44.38,57.99,2.21
238,tuktoyaktuk,90,CA,1594001181,87,69.45,-133.04,42.8,13.87
239,dhidhdhoo,100,MV,1594001181,75,6.88,73.1,82.83,9.46
240,inta,60,RU,1594001181,84,66.03,60.17,63.88,8.59
241,kodiak,90,US,1594001181,93,57.79,-152.41,55.4,6.2
242,tigil,100,RU,1594001181,94,57.8,158.67,52.63,5.59
243,longyearbyen,40,SJ,1594001116,76,78.22,15.64,48.2,19.46
244,raga,100,SS,1594001181,96,8.46,25.68,69.85,4.23
245,saint-joseph,78,RE,1594001181,72,-21.37,55.62,64.4,6.93
246,majene,49,ID,1594001181,77,-3.54,118.97,81.55,12.84
247,qui nhon,40,BR,1594001182,69,-10.97,-37.6,80.6,9.17
248,urumqi,75,CN,1594001182,47,43.8,87.6,75.2,4.47
249,svetlaya,58,RU,1594001182,71,46.54,138.33,68.63,9.93
250,veraval,100,IN,1594001182,87,20.9,70.37,82.17,20.33
251,tygda,0,RU,1594001182,32,53.12,126.33,74.46,4.92
252,moron,0,AR,1594001053,93,-34.65,-58.62,46.99,1.12
253,charters towers,1,US,1594001182,58,38.57,-83.43,84.2,3.36
254,maldonado,40,UY,1594001183,76,-34.67,-54.92,51.01,10.29
255,auray,41,FR,1594001183,93,47.67,-2.99,53.01,4.7
256,verkhnevilyuysk,87,RU,1594001183,63,63.45,120.32,55.65,5.01
257,hofn,96,IS,1594001183,60,64.25,-15.21,47.82,18.12
258,marawi,0,PH,1594001183,82,8.0,124.29,82.0,5.01
259,baghdad,0,IQ,1594001148,28,33.34,44.4,80.6,2.24
260,kindu,100,CD,1594001183,69,-2.95,25.95,74.82,0.78
261,namwala,62,ZM,1594001183,89,-15.75,26.44,45.16,2.3
262,sao filipe,100,IN,1594001176,87,20.51,76.21,74.88,11.43
263,margate,0,GB,1594001183,68,51.38,1.39,57.99,4.0
264,pangnirtung,100,CA,1594001183,84,66.15,-65.71,44.01,1.99
265,cody,1,US,1594001184,45,44.53,-109.06,70.0,18.34
266,launceston,8,AU,1594000994,66,-41.45,147.17,51.8,8.05
267,riberalta,61,BO,1594001184,71,-10.98,-66.1,76.64,2.51
268,ajaccio,0,FR,1594001184,82,42.0,8.92,64.4,5.82
269,vila franca do campo,3,PT,1594001184,82,42.03,-8.16,68.0,4.7
270,ilulissat,100,GL,1594001166,70,69.22,-51.1,46.4,4.7
271,gemena,69,CD,1594001184,98,3.25,19.77,69.06,2.39
272,adrar,0,MR,1594001184,11,20.5,-10.07,94.05,12.82
273,san cristobal,100,ML,1594001184,62,13.3,-4.9,83.34,3.89
274,artesia,20,US,1594001185,32,33.87,-118.08,87.01,6.93
275,severobaykalsk,4,RU,1594001183,45,55.65,109.32,60.13,3.67
276,kurilsk,90,RU,1594001185,82,45.23,147.88,59.13,7.47
277,assiniboia,14,CA,1594001102,53,49.63,-105.98,69.75,6.26
278,sarkand,100,KZ,1594001185,63,45.41,79.92,65.32,2.66
279,palauig,73,PH,1594001185,65,15.44,119.9,86.54,6.62
280,oistins,20,BB,1594000914,78,13.07,-59.53,82.4,16.11
281,takoradi,100,GH,1594001185,88,4.88,-1.76,75.51,8.39
282,bathsheba,20,BB,1594001185,78,13.22,-59.52,82.4,16.11
283,shingu,75,JP,1594001185,94,33.73,135.98,75.2,17.22
284,kavieng,16,PG,1594001185,64,-2.57,150.8,85.05,5.68
285,brisbane,26,AU,1594001137,42,-27.47,153.03,69.01,8.05
286,gat,85,IL,1594001186,81,31.61,34.76,78.01,6.85
287,lebu,99,CL,1594001186,79,-37.62,-73.65,45.12,4.68
288,raudeberg,100,NO,1594001186,90,61.99,5.14,53.01,8.86
289,sorland,90,NO,1594001186,77,67.67,12.69,50.45,19.26
290,raychikhinsk,100,RU,1594001186,97,49.78,129.41,61.83,6.62
291,kudahuvadhoo,100,MV,1594001186,76,2.67,72.89,82.67,15.97
292,pevek,100,RU,1594001186,88,69.7,170.31,46.83,5.19
293,gushikawa,40,JP,1594001186,74,26.35,127.87,89.01,19.46
294,japura,85,ID,1594001186,84,-0.32,102.35,80.11,3.31
295,kiama,40,AU,1594001186,58,-34.68,150.87,64.0,9.17
296,saskylakh,100,RU,1594001187,69,71.92,114.08,44.64,15.64
297,husavik,20,IS,1594001187,75,66.04,-17.34,42.8,9.17
298,vestmannaeyjar,13,IS,1594001187,84,63.44,-20.27,52.05,5.68
299,wetaskiwin,75,CA,1594001187,82,52.97,-113.37,62.01,8.05
300,bom jesus,88,ML,1594001187,58,14.95,-2.93,83.91,8.01
301,san patricio,100,ML,1594001175,62,13.3,-4.9,83.34,3.89
302,ndende,84,GA,1594001187,91,-2.4,11.36,71.28,2.15
303,east london,75,IS,1594001138,70,65.0,-15.0,42.8,16.11
304,rio verde de mato grosso,20,GR,1594001188,78,38.3,21.78,71.6,4.25
305,ngama,100,TD,1594001188,70,11.78,17.17,78.66,8.7
306,hamilton,1,US,1594001188,69,39.18,-84.53,82.99,4.63
307,biscarrosse,75,FR,1594001188,93,44.39,-1.17,64.4,3.36
308,council bluffs,1,US,1594001188,32,44.73,-116.44,73.4,5.82
309,pangoa,45,PE,1594001188,92,-12.12,-73.0,68.13,2.39
310,houma,1,US,1594001188,83,29.6,-90.72,79.0,4.7
311,meridian,1,US,1594001161,17,43.61,-116.39,86.0,10.29
312,daru,100,PG,1594001188,82,-9.08,143.21,79.25,15.57
313,kabo,100,CF,1594001189,96,7.7,18.63,69.64,2.84
314,guerrero negro,100,MX,1594001189,79,17.67,-100.0,69.39,2.73
315,kez,67,RU,1594001189,93,57.9,53.72,64.45,1.79
316,hambantota,75,LK,1594001189,100,6.12,81.12,78.8,8.05
317,tromso,20,NO,1594001189,81,69.65,18.96,44.6,10.29
318,savannah bight,75,US,1594001089,88,32.08,-81.1,77.0,3.36
319,mys shmidta,5,RU,1594001189,85,62.06,48.62,64.54,3.69
320,dalvik,20,IS,1594001190,75,65.97,-18.53,42.8,9.17
321,flin flon,75,FR,1594001190,88,48.5,6.66,62.6,10.29
322,pestravka,88,RU,1594001190,65,52.41,49.96,74.34,1.59
323,leningradskiy,5,RU,1594001190,65,69.38,178.42,52.61,13.85
324,cotonou,40,BJ,1594001190,88,6.37,2.42,78.8,9.17
325,okha,100,RU,1594001190,81,53.57,142.95,54.48,5.66
326,felanitx,0,ES,1594001190,82,39.47,3.15,70.0,1.12
327,bethel,1,US,1594001190,69,41.37,-73.41,75.2,1.77
328,mananara,100,MG,1594001191,83,-16.17,49.77,70.0,8.43
329,zelenoborskiy,40,RU,1594001191,86,66.84,32.36,48.92,8.39
330,nome,90,US,1594001192,93,64.5,-165.41,55.99,11.41
331,saint-augustin,0,CA,1594001192,84,51.23,-58.65,51.03,5.61
332,amapa,100,BR,1594001192,98,1.0,-52.0,72.1,2.15
333,camopi,99,GF,1594001192,97,3.17,-52.32,73.38,2.13
334,soyo,64,AO,1594001192,88,-6.13,12.37,72.27,6.44
335,boca do acre,23,IT,1594001192,87,45.68,8.41,71.01,1.01
336,wanning,9,CN,1594001192,72,18.8,110.4,86.9,14.61
337,komsomolets,100,KZ,1594001192,92,53.75,62.07,61.81,4.07
338,turukhansk,99,RU,1594001192,92,65.82,87.98,61.02,4.29
339,tazovskiy,0,RU,1594001192,83,67.47,78.7,54.77,13.96
340,benghazi,7,LY,1594001193,81,32.12,20.07,76.03,15.57
341,kaitangata,100,NZ,1594001193,89,-46.28,169.85,50.0,1.99
342,pervomayskoye,0,RU,1594001193,47,43.92,46.71,74.3,10.09
343,dickinson,1,US,1594000982,70,29.46,-95.05,86.0,6.93
344,honiara,75,SB,1594001193,70,-9.43,159.95,87.8,6.93
345,anlu,100,CN,1594001193,91,31.17,112.58,73.92,4.09
346,iquique,90,CL,1594001108,72,-20.22,-70.14,60.8,6.93
347,moerai,100,PF,1594001193,86,-22.43,-151.33,71.51,19.33
348,ancud,75,CL,1594001193,100,-41.87,-73.82,43.0,5.82
349,starosubkhangulovo,92,RU,1594001193,89,53.1,57.44,64.69,2.39
350,kahului,31,US,1594001194,85,20.89,-156.47,82.0,5.99
351,lakatoro,90,VU,1594001194,94,-16.1,167.42,77.0,6.93
352,ajdabiya,2,LY,1594001194,89,30.76,20.23,71.46,6.73
353,odweyne,100,SO,1594001194,57,9.41,45.06,72.39,24.14
354,ust-ishim,17,RU,1594001194,70,57.69,71.17,66.85,2.82
355,zvenigorod,0,RU,1594001194,93,55.73,36.85,62.6,4.47
356,davila,20,PH,1594001194,74,18.47,120.58,86.0,9.17
357,sibolga,82,ID,1594001194,65,1.74,98.78,84.07,1.45
358,grand river south east,1,US,1594001194,7,38.88,-109.5,96.8,9.17
359,thessalon,1,CA,1594001195,77,46.25,-83.57,69.8,2.89
360,mayo,1,US,1594001195,74,38.89,-76.51,81.0,9.31
361,bubaque,100,GW,1594001195,79,11.28,-15.83,81.32,8.68
362,bairiki,20,KI,1594001195,66,1.33,172.98,87.8,13.87
363,kasongo-lunda,39,CD,1594001195,36,-6.47,16.82,63.66,1.41
364,baglan,0,AF,1594001195,16,36.13,68.71,83.93,2.3
365,kumano,75,JP,1594001195,100,34.34,132.59,75.2,4.7
366,parrita,90,CR,1594001195,100,9.52,-84.32,69.8,3.36
367,port lincoln,17,CD,1594001159,50,-7.03,29.76,69.17,6.46
368,ljungby,0,SE,1594001196,93,56.83,13.94,52.0,11.41
369,codrington,100,AU,1594001196,76,-38.27,141.97,56.16,8.99
370,douglas,1,US,1594000911,62,41.3,-96.17,84.2,3.36
371,luanda,75,AO,1594000953,94,-8.84,13.23,69.8,3.36
372,kieta,76,PG,1594001196,67,-6.22,155.63,85.06,7.85
373,yar-sale,100,RU,1594001196,49,66.83,70.83,68.14,2.17
374,noumea,40,NC,1594001197,47,-22.28,166.46,75.2,9.17
375,cape canaveral,100,CL,1594001197,100,-36.41,-71.9,42.8,2.24
376,kushmurun,100,KZ,1594001197,70,52.45,64.63,67.51,4.76
377,korla,100,CN,1594001197,24,41.76,86.15,83.75,8.43
378,crab hill,1,US,1594001197,61,37.27,-76.49,80.6,8.05
379,kargopol,49,RU,1594001198,97,61.51,38.95,58.35,7.99
380,owando,87,CG,1594001198,95,-0.48,15.9,70.86,2.73
381,southbridge,89,US,1594001198,79,42.08,-72.03,73.0,0.4
382,marzuq,69,YE,1594001198,71,14.4,46.47,74.41,4.21
383,waipawa,88,NZ,1594001198,71,-41.41,175.52,57.2,20.8
384,pacific grove,7,US,1594001147,76,38.48,-90.74,81.0,2.01
385,pontes e lacerda,0,BR,1594001198,74,-4.83,-43.37,78.8,2.24
386,vilhena,2,BR,1594001036,64,-12.74,-60.15,70.88,2.3
387,talnakh,75,RU,1594001199,93,69.49,88.4,59.0,8.95
